id,name,duration,path,call_type,call_status,work_code,created_at,agent_info
592,EC8055721254727352023102321472771.wav,00:03:28,media/1698392927/EC8055721254727352023102321472771.wav,ptcl,In Progress,,2023-10-27 07:48:48,
591,EC8055721254688502023102322144699.wav,00:03:39,media/1698392927/EC8055721254688502023102322144699.wav,ptcl,In Progress,,2023-10-27 07:48:48,
590,EC8055621056751712023102321482035.wav,00:03:50,media/1698392927/EC8055621056751712023102321482035.wav,ptcl,In Progress,,2023-10-27 07:48:48,
589,EC8055621056754612023102321585295.wav,00:01:27,media/1698392927/EC8055621056754612023102321585295.wav,ptcl,In Progress,,2023-10-27 07:48:47,
588,EC8055621056737772023102322023907.wav,00:04:24,media/1698392927/EC8055621056737772023102322023907.wav,ptcl,In Progress,,2023-10-27 07:48:47,
587,EC8055621056751082023102321540856.wav,00:02:16,media/1698392927/EC8055621056751082023102321540856.wav,ptcl,In Progress,,2023-10-27 07:48:47,
586,EC8055321142745832023102322040554.wav,00:04:26,media/1698392926/EC8055321142745832023102322040554.wav,ptcl,In Progress,,2023-10-27 07:48:47,
585,EC8055321142753212023102321583830.wav,00:03:33,media/1698392926/EC8055321142753212023102321583830.wav,ptcl,In Progress,,2023-10-27 07:48:47,
584,EC8055621056697612023102322091901.wav,00:01:33,media/1698392926/EC8055621056697612023102322091901.wav,ptcl,In Progress,,2023-10-27 07:48:47,
583,EC8055321142737142023102321491464.wav,00:06:58,media/1698392926/EC8055321142737142023102321491464.wav,ptcl,In Progress,,2023-10-27 07:48:47,
582,EC8054742115760712023102322061793.wav,00:09:33,media/1698392926/EC8054742115760712023102322061793.wav,ptcl,In Progress,,2023-10-27 07:48:47,
581,EC8054742115752972023102321542001.wav,00:10:17,media/1698392926/EC8054742115752972023102321542001.wav,ptcl,In Progress,,2023-10-27 07:48:46,
580,EC8054742115771172023102321485103.wav,00:03:26,media/1698392926/EC8054742115771172023102321485103.wav,ptcl,In Progress,,2023-10-27 07:48:46,
579,EC8055121192680132023102321582134.wav,00:00:42,media/1698392926/EC8055121192680132023102321582134.wav,ptcl,In Progress,,2023-10-27 07:48:46,
578,EC8054242569761062023102321532457.wav,00:07:37,media/1698392925/EC8054242569761062023102321532457.wav,ptcl,In Progress,,2023-10-27 07:48:46,
577,EC8052942540771552023102321571504.wav,00:01:38,media/1698392925/EC8052942540771552023102321571504.wav,ptcl,In Progress,,2023-10-27 07:48:46,
576,EC8052942540772942023102321543632.wav,00:00:25,media/1698392925/EC8052942540772942023102321543632.wav,ptcl,In Progress,,2023-10-27 07:48:46,
575,EC8051351120771572023102322071826.wav,00:09:31,media/1698392924/EC8051351120771572023102322071826.wav,ptcl,In Progress,,2023-10-27 07:48:45,
574,EC8051951048741712023102322104574.wav,00:07:47,media/1698392925/EC8051951048741712023102322104574.wav,ptcl,In Progress,,2023-10-27 07:48:45,
573,EC8052942540757052023102321523027.wav,00:00:25,media/1698392925/EC8052942540757052023102321523027.wav,ptcl,In Progress,,2023-10-27 07:48:45,
572,EC8051951048750532023102321533739.wav,00:03:45,media/1698392925/EC8051951048750532023102321533739.wav,ptcl,In Progress,,2023-10-27 07:48:45,
571,EC8052942540756012023102321502287.wav,00:00:51,media/1698392925/EC8052942540756012023102321502287.wav,ptcl,In Progress,,2023-10-27 07:48:45,
570,EC8051951048739232023102322063436.wav,00:01:23,media/1698392925/EC8051951048739232023102322063436.wav,ptcl,In Progress,,2023-10-27 07:48:45,
569,EC8051351120753232023102321500251.wav,00:07:01,media/1698392924/EC8051351120753232023102321500251.wav,ptcl,In Progress,,2023-10-27 07:48:45,
568,EC8051351120765362023102321460426.wav,00:00:12,media/1698392924/EC8051351120765362023102321460426.wav,ptcl,In Progress,,2023-10-27 07:48:44,
567,EC8049721012741272023102322021967.wav,00:07:35,media/1698392923/EC8049721012741272023102322021967.wav,ptcl,In Progress,,2023-10-27 07:48:44,
566,EC8050521016754202023102321545837.wav,00:04:38,media/1698392924/EC8050521016754202023102321545837.wav,ptcl,In Progress,,2023-10-27 07:48:44,
565,EC8050521016756102023102321504436.wav,00:02:29,media/1698392924/EC8050521016756102023102321504436.wav,ptcl,In Progress,,2023-10-27 07:48:44,
